Pool;Event (EN);Event (RU);Men;Women;Rank;Is_Mixed;Period
SCM;100m Backstroke;На спине 100 м;50.54;57.36;МСМК;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;57.00;1:03.60;МС;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;1:00.40;1:08.50;КМС;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;1:04.40;1:13.00;I;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;1:12.60;1:21.10;II;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;1:21.10;1:31.10;III;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;1:33.60;1:45.10;Iю;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;1:56.10;2:08.10;IIю;False;26.11.2024 – 31.12.9999
SCM;100m Backstroke;На спине 100 м;2:16.10;2:28.10;IIIю;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;53.72;59.80;МСМК;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;58.50;1:06.00;МС;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;1:02.00;1:10.00;КМС;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;1:06.00;1:14.50;I;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;1:14.10;1:22.60;II;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;1:22.60;1:32.60;III;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;1:35.10;1:46.60;Iю;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;1:57.60;2:09.60;IIю;False;26.11.2024 – 31.12.9999
LCM;100m Backstroke;На спине 100 м;2:17.60;2:29.60;IIIю;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;57.34;1:05.05;МСМК;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;1:03.00;1:12.00;МС;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;1:06.90;1:16.00;КМС;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;1:11.40;1:21.00;I;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;1:20.10;1:29.60;II;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;1:28.10;1:41.60;III;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;1:44.10;2:06.10;Iю;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;2:03.10;2:16.10;IIю;False;26.11.2024 – 31.12.9999
SCM;100m Breaststroke;Брасс 100 м;2:23.10;2:37.10;IIIю;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;59.91;1:06.88;МСМК;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;1:04.50;1:13.50;МС;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;1:08.50;1:17.50;КМС;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;1:13.00;1:22.50;I;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;1:21.60;1:31.10;II;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;1:29.60;1:43.10;III;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;1:45.60;2:07.60;Iю;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;2:04.60;2:17.60;IIю;False;26.11.2024 – 31.12.9999
LCM;100m Breaststroke;Брасс 100 м;2:24.60;2:38.60;IIIю;False;26.11.2024 – 31.12.9999
SCM;100m Butterfly;Баттерфляй 100 м;50.15;57.16;МСМК;False;26.11.2024 – 31.12.9999
SCM;100m Butterfly;Баттерфляй 100 м;54.00;1:01.50;МС;False;26.11.2024 – 31.12.9999
SCM;100m Butterfly;Баттерфляй 100 м;58.00;1:05.00;КМС;False;26.11.2024 – 31.12.9999
SCM;100m Butterfly;Баттерфляй 100 м;1:01.50;1:09.50;I;False;26.11.2024 – 31.12.9999
SCM;100m Butterfly;Баттерфляй 100 м;1:10.10;1:19.10;II;False;26.11.2024 – 31.12.9999
SCM;100m Butterfly;Баттерфляй 100 м;1:20.10;1:30.10;III;False;26.11.2024 – 31.12.9999
SCM;100m Butterfly;Баттерфляй 100 м;1:30.10;1:42.10;Iю;False;26.11.2024 – 31.12.9999
SCM;100m Butterfly;Баттерфляй 100 м;1:49.10;2:01.10;IIю;False;26.11.2024 – 31.12.9999
SCM;100m Butterfly;Баттерфляй 100 м;2:01.10;2:21.10;IIIю;False;26.11.2024 – 31.12.9999
LCM;100m Butterfly;Баттерфляй 100 м;51.62;58.06;МСМК;False;26.11.2024 – 31.12.9999
LCM;100m Butterfly;Баттерфляй 100 м;55.50;1:03.00;МС;False;26.11.2024 – 31.12.9999
LCM;100m Butterfly;Баттерфляй 100 м;59.50;1:06.50;КМС;False;26.11.2024 – 31.12.9999
LCM;100m Butterfly;Баттерфляй 100 м;1:03.00;1:11.00;I;False;26.11.2024 – 31.12.9999
LCM;100m Butterfly;Баттерфляй 100 м;1:11.60;1:20.60;II;False;26.11.2024 – 31.12.9999
LCM;100m Butterfly;Баттерфляй 100 м;1:21.60;1:31.60;III;False;26.11.2024 – 31.12.9999
LCM;100m Butterfly;Баттерфляй 100 м;1:31.60;1:43.60;Iю;False;26.11.2024 – 31.12.9999
LCM;100m Butterfly;Баттерфляй 100 м;1:50.60;2:02.60;IIю;False;26.11.2024 – 31.12.9999
LCM;100m Butterfly;Баттерфляй 100 м;02:10.60;2:22.60;IIIю;False;26.11.2024 – 31.12.9999
SCM;100m Freestyle;Вольный стиль 100 м;46.72;52.68;МСМК;False;26.11.2024 – 31.12.9999
SCM;100m Freestyle;Вольный стиль 100 м;50.00;56.00;МС;False;26.11.2024 – 31.12.9999
SCM;100m Freestyle;Вольный стиль 100 м;53.30;1:00.00;КМС;False;26.11.2024 – 31.12.9999
SCM;100m Freestyle;Вольный стиль 100 м;56.70;1:03.84;I;False;26.11.2024 – 31.12.9999
SCM;100m Freestyle;Вольный стиль 100 м;1:03.10;1:11.40;II;False;26.11.2024 – 31.12.9999
SCM;100m Freestyle;Вольный стиль 100 м;1:10.60;1:19.10;III;False;26.11.2024 – 31.12.9999
SCM;100m Freestyle;Вольный стиль 100 м;1:23.10;1:33.10;Iю;False;26.11.2024 – 31.12.9999
SCM;100m Freestyle;Вольный стиль 100 м;1:43.10;1:53.10;IIю;False;26.11.2024 – 31.12.9999
SCM;100m Freestyle;Вольный стиль 100 м;2:03.10;2:12.10;IIIю;False;26.11.2024 – 31.12.9999
LCM;100m Freestyle;Вольный стиль 100 м;48.25;53.99;МСМК;False;26.11.2024 – 31.12.9999
LCM;100m Freestyle;Вольный стиль 100 м;51.50;57.50;МС;False;26.11.2024 – 31.12.9999
LCM;100m Freestyle;Вольный стиль 100 м;54.90;1:01.50;КМС;False;26.11.2024 – 31.12.9999
LCM;100m Freestyle;Вольный стиль 100 м;58.30;1:05.34;I;False;26.11.2024 – 31.12.9999
LCM;100m Freestyle;Вольный стиль 100 м;1:04.60;1:12.90;II;False;26.11.2024 – 31.12.9999
LCM;100m Freestyle;Вольный стиль 100 м;1:12.10;1:20.60;III;False;26.11.2024 – 31.12.9999
LCM;100m Freestyle;Вольный стиль 100 м;1:24.60;1:34.60;Iю;False;26.11.2024 – 31.12.9999
LCM;100m Freestyle;Вольный стиль 100 м;1:44.60;1:54.60;IIю;False;26.11.2024 – 31.12.9999
LCM;100m Freestyle;Вольный стиль 100 м;2:04.60;2:13.60;IIIю;False;26.11.2024 – 31.12.9999
SCM;100m Medley;Комплексное плавание 100 м;52.57;59.56;МСМК;False;26.11.2024 – 31.12.9999
SCM;100m Medley;Комплексное плавание 100 м;56.50;1:04.50;МС;False;26.11.2024 – 31.12.9999
SCM;100m Medley;Комплексное плавание 100 м;1:01.50;1:09.50;КМС;False;26.11.2024 – 31.12.9999
SCM;100m Medley;Комплексное плавание 100 м;1:05.50;1:14.50;I;False;26.11.2024 – 31.12.9999
SCM;100m Medley;Комплексное плавание 100 м;1:13.60;1:23.60;II;False;26.11.2024 – 31.12.9999
SCM;100m Medley;Комплексное плавание 100 м;1:23.60;1:34.60;III;False;26.11.2024 – 31.12.9999
SCM;100m Medley;Комплексное плавание 100 м;1:34.60;1:46.60;Iю;False;26.11.2024 – 31.12.9999
SCM;100m Medley;Комплексное плавание 100 м;1:53.60;2:05.60;IIю;False;26.11.2024 – 31.12.9999
SCM;100m Medley;Комплексное плавание 100 м;2:13.60;2:45.60;IIIю;False;26.11.2024 – 31.12.9999
SCM;1500m Freestyle;Вольный стиль 1500 м;14:44.74;16:12.06;МСМК;False;26.11.2024 – 31.12.9999
SCM;1500m Freestyle;Вольный стиль 1500 м;15:28.50;17:12.50;МС;False;26.11.2024 – 31.12.9999
SCM;1500m Freestyle;Вольный стиль 1500 м;17:06.50;18:21.50;КМС;False;26.11.2024 – 31.12.9999
SCM;1500m Freestyle;Вольный стиль 1500 м;18:05.00;20:04.50;I;False;26.11.2024 – 31.12.9999
SCM;1500m Freestyle;Вольный стиль 1500 м;20:27.50;22:34.50;II;False;26.11.2024 – 31.12.9999
SCM;1500m Freestyle;Вольный стиль 1500 м;23:27.50;25:57.50;III;False;26.11.2024 – 31.12.9999
SCM;1500m Freestyle;Вольный стиль 1500 м;27:30.00;30:05.00;Iю;False;26.11.2024 – 31.12.9999
SCM;1500m Freestyle;Вольный стиль 1500 м;31:30.00;34:10.00;IIю;False;26.11.2024 – 31.12.9999
SCM;1500m Freestyle;Вольный стиль 1500 м;35:30.00;38:20.00;IIIю;False;26.11.2024 – 31.12.9999
LCM;1500m Freestyle;Вольный стиль 1500 м;15:06.19;16:20.88;МСМК;False;26.11.2024 – 31.12.9999
LCM;1500m Freestyle;Вольный стиль 1500 м;15:51.00;17:35.00;МС;False;26.11.2024 – 31.12.9999
LCM;1500m Freestyle;Вольный стиль 1500 м;17:29.00;18:44.00;КМС;False;26.11.2024 – 31.12.9999
LCM;1500m Freestyle;Вольный стиль 1500 м;18:29.00;20:27.00;I;False;26.11.2024 – 31.12.9999
LCM;1500m Freestyle;Вольный стиль 1500 м;20:50.00;22:57.00;II;False;26.11.2024 – 31.12.9999
LCM;1500m Freestyle;Вольный стиль 1500 м;23:50.00;26:20.00;III;False;26.11.2024 – 31.12.9999
LCM;1500m Freestyle;Вольный стиль 1500 м;27:52.00;30:27.50;Iю;False;26.11.2024 – 31.12.9999
LCM;1500m Freestyle;Вольный стиль 1500 м;31:52.50;34:32.50;IIю;False;26.11.2024 – 31.12.9999
LCM;1500m Freestyle;Вольный стиль 1500 м;35:52.50;38:42.50;IIIю;False;26.11.2024 – 31.12.9999
SCM;200m Backstroke;На спине 200 м;1:52.45;2:05.15;МСМК;False;26.11.2024 – 31.12.9999
SCM;200m Backstroke;На спине 200 м;2:04.75;2:17.95;МС;False;26.11.2024 – 31.12.9999
SCM;200m Backstroke;На спине 200 м;2:11.45;2:25.95;КМС;False;26.11.2024 – 31.12.9999
SCM;200m Backstroke;На спине 200 м;2:19.20;2:34.95;I;False;26.11.2024 – 31.12.9999
SCM;200m Backstroke;На спине 200 м;2:36.20;2:54.20;II;False;26.11.2024 – 31.12.9999
SCM;200m Backstroke;На спине 200 м;2:56.20;3:16.20;III;False;26.11.2024 – 31.12.9999
SCM;200m Backstroke;На спине 200 м;3:24.20;3:50.20;Iю;False;26.11.2024 – 31.12.9999
SCM;200m Backstroke;На спине 200 м;4:10.20;4:35.20;IIю;False;26.11.2024 – 31.12.9999
SCM;200m Backstroke;На спине 200 м;4:50.20;5:15.20;IIIю;False;26.11.2024 – 31.12.9999
LCM;200m Backstroke;На спине 200 м;1:57.30;2:09.77;МСМК;False;26.11.2024 – 31.12.9999
LCM;200m Backstroke;На спине 200 м;2:07.75;2:20.95;МС;False;26.11.2024 – 31.12.9999
LCM;200m Backstroke;На спине 200 м;2:15.45;2:28.95;КМС;False;26.11.2024 – 31.12.9999
LCM;200m Backstroke;На спине 200 м;2:22.45;2:37.95;I;False;26.11.2024 – 31.12.9999
LCM;200m Backstroke;На спине 200 м;2:38.20;2:57.20;II;False;26.11.2024 – 31.12.9999
LCM;200m Backstroke;На спине 200 м;2:59.20;3:19.20;III;False;26.11.2024 – 31.12.9999
LCM;200m Backstroke;На спине 200 м;3:27.20;3:53.20;Iю;False;26.11.2024 – 31.12.9999
LCM;200m Backstroke;На спине 200 м;4:13.20;4:38.20;IIю;False;26.11.2024 – 31.12.9999
LCM;200m Backstroke;На спине 200 м;4:53.20;5:18.00;IIIю;False;26.11.2024 – 31.12.9999
SCM;200m Breaststroke;Брасс 200 м;2:05.56;2:21.34;МСМК;False;26.11.2024 – 31.12.9999
SCM;200m Breaststroke;Брасс 200 м;2:18.45;2:34.45;МС;False;26.11.2024 – 31.12.9999
SCM;200m Breaststroke;Брасс 200 м;2:26.45;2:43.45;КМС;False;26.11.2024 – 31.12.9999
SCM;200m Breaststroke;Брасс 200 м;2:36.45;2:53.95;I;False;26.11.2024 – 31.12.9999
SCM;200m Breaststroke;Брасс 200 м;2:55.70;3:14.20;II;False;26.11.2024 – 31.12.9999
SCM;200m Breaststroke;Брасс 200 м;3:18.70;3:39.60;III;False;26.11.2024 – 31.12.9999
SCM;200m Breaststroke;Брасс 200 м;3:51.60;4:16.60;Iю;False;26.11.2024 – 31.12.9999
SCM;200m Breaststroke;Брасс 200 м;4:24.60;4:51.60;IIю;False;26.11.2024 – 31.12.9999
SCM;200m Breaststroke;Брасс 200 м;5:04.60;5:33.20;IIIю;False;26.11.2024 – 31.12.9999
LCM;200m Breaststroke;Брасс 200 м;2:09.97;2:25.24;МСМК;False;26.11.2024 – 31.12.9999
LCM;200m Breaststroke;Брасс 200 м;2:21.45;2:37.45;МС;False;26.11.2024 – 31.12.9999
LCM;200m Breaststroke;Брасс 200 м;2:29.45;2:46.40;КМС;False;26.11.2024 – 31.12.9999
LCM;200m Breaststroke;Брасс 200 м;2:39.45;2:56.95;I;False;26.11.2024 – 31.12.9999
LCM;200m Breaststroke;Брасс 200 м;2:58.70;3:17.20;II;False;26.11.2024 – 31.12.9999
LCM;200m Breaststroke;Брасс 200 м;3:21.70;3:42.20;III;False;26.11.2024 – 31.12.9999
LCM;200m Breaststroke;Брасс 200 м;3:54.20;4:19.20;Iю;False;26.11.2024 – 31.12.9999
LCM;200m Breaststroke;Брасс 200 м;4:27.20;4:54.20;IIю;False;26.11.2024 – 31.12.9999
LCM;200m Breaststroke;Брасс 200 м;5:07.20;5:36.20;IIIю;False;26.11.2024 – 31.12.9999
SCM;200m Butterfly;Баттерфляй 200 м;1:52.45;2:07.15;МСМК;False;26.11.2024 – 31.12.9999
SCM;200m Butterfly;Баттерфляй 200 м;2:02.95;2:16.95;МС;False;26.11.2024 – 31.12.9999
SCM;200m Butterfly;Баттерфляй 200 м;2:09.95;2:24.45;КМС;False;26.11.2024 – 31.12.9999
SCM;200m Butterfly;Баттерфляй 200 м;2:17.95;2:34.45;I;False;26.11.2024 – 31.12.9999
SCM;200m Butterfly;Баттерфляй 200 м;2:36.70;2:55.20;II;False;26.11.2024 – 31.12.9999
SCM;200m Butterfly;Баттерфляй 200 м;2:57.20;3:18.20;III;False;26.11.2024 – 31.12.9999
SCM;200m Butterfly;Баттерфляй 200 м;3:21.20;3:45.20;Iю;False;26.11.2024 – 31.12.9999
SCM;200m Butterfly;Баттерфляй 200 м;3:56.20;4:21.20;IIю;False;26.11.2024 – 31.12.9999
SCM;200m Butterfly;Баттерфляй 200 м;4:36.20;5:01.20;IIIю;False;26.11.2024 – 31.12.9999
LCM;200m Butterfly;Баттерфляй 200 м;1:56.23;2:08.90;МСМК;False;26.11.2024 – 31.12.9999
LCM;200m Butterfly;Баттерфляй 200 м;2:05.95;2:19.95;МС;False;26.11.2024 – 31.12.9999
LCM;200m Butterfly;Баттерфляй 200 м;2:13.95;2:27.45;КМС;False;26.11.2024 – 31.12.9999
LCM;200m Butterfly;Баттерфляй 200 м;2:20.95;2:37.45;I;False;26.11.2024 – 31.12.9999
LCM;200m Butterfly;Баттерфляй 200 м;2:39.70;2:58.20;II;False;26.11.2024 – 31.12.9999
LCM;200m Butterfly;Баттерфляй 200 м;3:00.20;3:21.20;III;False;26.11.2024 – 31.12.9999
LCM;200m Butterfly;Баттерфляй 200 м;3:24.20;3:48.20;Iю;False;26.11.2024 – 31.12.9999
LCM;200m Butterfly;Баттерфляй 200 м;3:59.20;4:24.20;IIю;False;26.11.2024 – 31.12.9999
LCM;200m Butterfly;Баттерфляй 200 м;4:39.20;5:04.20;IIIю;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;1:43.02;1:55.02;МСМК;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;1:50.95;2:03.45;МС;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;1:57.45;2:11.75;КМС;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;2:05.70;2:20.45;I;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;2:20.20;2:36.20;II;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;2:38.70;2:54.20;III;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;3:04.20;3:25.20;Iю;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;3:45.00;4:05.20;IIю;False;26.11.2024 – 31.12.9999
SCM;200m Freestyle;Вольный стиль 200 м;4:24.20;4:43.20;IIIю;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;1:46.50;1:56.90;МСМК;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;1:53.95;2:06.45;МС;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;2:00.65;2:14.76;КМС;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;2:08.95;2:23.45;I;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;2:23.20;2:38.20;II;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;2:41.70;2:57.20;III;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;3:07.20;3:28.20;Iю;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;3:47.20;4:08.20;IIю;False;26.11.2024 – 31.12.9999
LCM;200m Freestyle;Вольный стиль 200 м;4:27.20;4:46.20;IIIю;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;1:54.17;2:08.11;МСМК;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;2:05.95;2:20.95;МС;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;2:14.45;2:29.45;КМС;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;2:21.95;2:38.95;I;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;2:38.95;2:59.20;II;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;3:04.20;3:25.20;III;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;3:29.20;3:54.20;Iю;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;4:04.20;4:30.20;IIю;False;26.11.2024 – 31.12.9999
SCM;200m Medley;Комплексное плавание 200 м;4:44.20;5:10.20;IIIю;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;1:58.59;2:12.12;МСМК;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;2:09.75;2:24.75;МС;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;2:17.25;2:33.25;КМС;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;2:25.75;2:42.75;I;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;2:44.00;3:03.00;II;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;3:08.00;3:29.00;III;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;3:33.00;3:58.00;Iю;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;4:08.00;4:34.00;IIю;False;26.11.2024 – 31.12.9999
LCM;200m Medley;Комплексное плавание 200 м;4:48.00;5:14.00;IIIю;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;3:40.94;4:03.32;МСМК;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;3:56.00;4:20.00;МС;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;4:08.50;4:30.00;КМС;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;4:25.00;4:52.00;I;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;5:00.00;5:34.00;II;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;5:41.00;6:18.00;III;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;6:37.00;7:29.00;Iю;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;7:33.00;8:40.00;IIю;False;26.11.2024 – 31.12.9999
SCM;400m Freestyle;Вольный стиль 400 м;8:29.00;9:51.00;IIIю;False;26.11.2024 – 31.12.9999
