Pool;Event (EN);Event (RU);Men;Women;Rank;Is_Mixed;Period
LCM;400m Freestyle;Вольный стиль 400 м;3:47.71;4:08.04;МСМК;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;4:02.00;4:26.00;МС;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;4:14.50;4:41.00;КМС;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;4:31.00;4:59.00;I;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;5:06.00;5:40.00;II;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;5:47.00;6:24.00;III;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;6:43.00;7:35.00;Iю;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;7:39.00;8:46.00;IIю;False;26.11.2024 – 31.12.9999
LCM;400m Freestyle;Вольный стиль 400 м;8:35.00;9:57.00;IIIю;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;4:06.68;4:35.03;МСМК;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;4:28.00;4:58.00;МС;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;4:43.00;5:15.50;КМС;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;5:02.00;5:37.00;I;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;5:43.00;6:21.00;II;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;6:31.00;7:14.00;III;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;7:26.00;8:15.00;Iю;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;8:22.00;9:26.00;IIю;False;26.11.2024 – 31.12.9999
SCM;400m Medley;Комплексное плавание 400 м;9:18.00;10:37.00;IIIю;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;4:13.76;4:40.80;МСМК;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;4:34.00;5:03.00;МС;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;4:48.00;5:20.50;КМС;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;5:07.00;5:42.00;I;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;5:48.00;6:27.00;II;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;6:37.00;7:20.00;III;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;7:32.00;8:21.00;Iю;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;8:28.00;9:32.00;IIю;False;26.11.2024 – 31.12.9999
LCM;400m Medley;Комплексное плавание 400 м;9:24.00;10:43.00;IIIю;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;46.72;52.68;МСМК;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;50.00;56.00;МС;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;53.30;1:00.00;КМС;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;56.70;1:03.84;I;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:03.10;1:11.40;II;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:10.60;1:19.10;III;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:23.10;1:33.10;Iю;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:43.10;1:53.10;IIю;False;26.11.2024 – 31.12.9999
SCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;2:03.10;2:12.10;IIIю;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;48.25;53.99;МСМК;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;51.50;57.50;МС;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;54.90;1:01.50;КМС;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;58.30;1:05.34;I;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:04.60;1:12.90;II;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:12.10;1:20.60;III;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:24.60;1:34.60;Iю;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;1:44.60;1:54.60;IIю;False;26.11.2024 – 31.12.9999
LCM;4x100m Freestyle Relay;Эстафета 4х100 м - вольный стиль;2:04.60;2:13.60;IIIю;False;26.11.2024 – 31.12.9999
SCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;1:43.02;1:55.02;МСМК;False;26.11.2024 – 31.12.9999
SCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;1:50.95;2:03.45;МС;False;26.11.2024 – 31.12.9999
SCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;1:57.45;2:11.75;КМС;False;26.11.2024 – 31.12.9999
SCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;2:05.70;2:20.45;I;False;26.11.2024 – 31.12.9999
SCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;2:20.20;2:36.20;II;False;26.11.2024 – 31.12.9999
SCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;2:38.70;2:54.20;III;False;26.11.2024 – 31.12.9999
SCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;3:04.20;3:25.20;Iю;False;26.11.2024 – 31.12.9999
SCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;3:45.00;4:05.20;IIю;False;26.11.2024 – 31.12.9999
SCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;4:24.20;4:43.20;IIIю;False;26.11.2024 – 31.12.9999
LCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;1:46.50;1:56.90;МСМК;False;26.11.2024 – 31.12.9999
LCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;1:53.95;2:06.45;МС;False;26.11.2024 – 31.12.9999
LCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;2:00.65;2:14.76;КМС;False;26.11.2024 – 31.12.9999
LCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;2:08.95;2:23.45;I;False;26.11.2024 – 31.12.9999
LCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;2:23.20;2:38.20;II;False;26.11.2024 – 31.12.9999
LCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;2:41.70;2:57.20;III;False;26.11.2024 – 31.12.9999
LCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;3:07.20;3:28.20;Iю;False;26.11.2024 – 31.12.9999
LCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;3:47.20;4:08.20;IIю;False;26.11.2024 – 31.12.9999
LCM;4x200m Freestyle Relay;Эстафета 4х200 м - вольный стиль;4:27.20;4:46.20;IIIю;False;26.11.2024 – 31.12.9999
SCM;4x50m Freestyle Relay;Эстафета 4х50 м - вольный стиль;21.18;24.13;МСМК;False;26.11.2024 – 31.12.9999
SCM;4x50m Freestyle Relay;Эстафета 4х50 м - вольный стиль;22.45;25.75;МС;False;26.11.2024 – 31.12.9999
SCM;4x50m Freestyle Relay;Эстафета 4х50 м - вольный стиль;23.20;26.55;КМС;False;26.11.2024 – 31.12.9999
SCM;4x50m Freestyle Relay;Эстафета 4х50 м - вольный стиль;24.45;27.85;I;False;26.11.2024 – 31.12.9999
SCM;4x50m Freestyle Relay;Эстафета 4х50 м - вольный стиль;26.85;30.55;II;False;26.11.2024 – 31.12.9999
SCM;4x50m Freestyle Relay;Эстафета 4х50 м - вольный стиль;29.05;32.55;III;False;26.11.2024 – 31.12.9999
SCM;4x50m Freestyle Relay;Эстафета 4х50 м - вольный стиль;35.05;39.55;Iю;False;26.11.2024 – 31.12.9999
SCM;4x50m Freestyle Relay;Эстафета 4х50 м - вольный стиль;45.05;49.55;IIю;False;26.11.2024 – 31.12.9999
SCM;4x50m Freestyle Relay;Эстафета 4х50 м - вольный стиль;55.05;59.05;IIIю;False;26.11.2024 – 31.12.9999
SCM;50m Backstroke;На спине 50 м;23.29;26.57;МСМК;False;26.11.2024 – 31.12.9999
SCM;50m Backstroke;На спине 50 м;25.89;28.65;МС;False;26.11.2024 – 31.12.9999
SCM;50m Backstroke;На спине 50 м;27.35;29.85;КМС;False;26.11.2024 – 31.12.9999
SCM;50m Backstroke;На спине 50 м;29.35;31.55;I;False;26.11.2024 – 31.12.9999
SCM;50m Backstroke;На спине 50 м;32.05;36.55;II;False;26.11.2024 – 31.12.9999
SCM;50m Backstroke;На спине 50 м;35.55;40.55;III;False;26.11.2024 – 31.12.9999
SCM;50m Backstroke;На спине 50 м;41.55;47.05;Iю;False;26.11.2024 – 31.12.9999
SCM;50m Backstroke;На спине 50 м;51.55;57.05;IIю;False;26.11.2024 – 31.12.9999
SCM;50m Backstroke;На спине 50 м;1:01.55;1:07.05;IIIю;False;26.11.2024 – 31.12.9999
LCM;50m Backstroke;На спине 50 м;24.85;28.05;МСМК;False;26.11.2024 – 31.12.9999
LCM;50m Backstroke;На спине 50 м;26.65;29.00;МС;False;26.11.2024 – 31.12.9999
LCM;50m Backstroke;На спине 50 м;28.15;30.70;КМС;False;26.11.2024 – 31.12.9999
LCM;50m Backstroke;На спине 50 м;29.95;32.30;I;False;26.11.2024 – 31.12.9999
LCM;50m Backstroke;На спине 50 м;32.80;37.30;II;False;26.11.2024 – 31.12.9999
LCM;50m Backstroke;На спине 50 м;36.30;41.30;III;False;26.11.2024 – 31.12.9999
LCM;50m Backstroke;На спине 50 м;42.30;47.80;Iю;False;26.11.2024 – 31.12.9999
LCM;50m Backstroke;На спине 50 м;52.30;57.80;IIю;False;26.11.2024 – 31.12.9999
LCM;50m Backstroke;На спине 50 м;1:02.30;1:07.80;IIIю;False;26.11.2024 – 31.12.9999
SCM;50m Breaststroke;Брасс 50 м;26.28;30.04;МСМК;False;26.11.2024 – 31.12.9999
SCM;50m Breaststroke;Брасс 50 м;28.25;32.45;МС;False;26.11.2024 – 31.12.9999
SCM;50m Breaststroke;Брасс 50 м;30.00;34.25;КМС;False;26.11.2024 – 31.12.9999
SCM;50m Breaststroke;Брасс 50 м;31.65;35.95;I;False;26.11.2024 – 31.12.9999
SCM;50m Breaststroke;Брасс 50 м;35.05;40.05;II;False;26.11.2024 – 31.12.9999
SCM;50m Breaststroke;Брасс 50 м;38.55;44.05;III;False;26.11.2024 – 31.12.9999
SCM;50m Breaststroke;Брасс 50 м;45.05;51.55;Iю;False;26.11.2024 – 31.12.9999
SCM;50m Breaststroke;Брасс 50 м;55.05;1:01.55;IIю;False;26.11.2024 – 31.12.9999
SCM;50m Breaststroke;Брасс 50 м;1:05.05;1:11.55;IIIю;False;26.11.2024 – 31.12.9999
LCM;50m Breaststroke;Брасс 50 м;27.22;30.77;МСМК;False;26.11.2024 – 31.12.9999
LCM;50m Breaststroke;Брасс 50 м;29.00;33.20;МС;False;26.11.2024 – 31.12.9999
LCM;50m Breaststroke;Брасс 50 м;30.50;35.00;КМС;False;26.11.2024 – 31.12.9999
LCM;50m Breaststroke;Брасс 50 м;32.40;36.70;I;False;26.11.2024 – 31.12.9999
LCM;50m Breaststroke;Брасс 50 м;35.80;40.80;II;False;26.11.2024 – 31.12.9999
LCM;50m Breaststroke;Брасс 50 м;39.30;44.80;III;False;26.11.2024 – 31.12.9999
LCM;50m Breaststroke;Брасс 50 м;45.80;52.30;Iю;False;26.11.2024 – 31.12.9999
LCM;50m Breaststroke;Брасс 50 м;55.80;1:02.30;IIю;False;26.11.2024 – 31.12.9999
LCM;50m Breaststroke;Брасс 50 м;1:05.80;1:12.30;IIIю;False;26.11.2024 – 31.12.9999
SCM;50m Butterfly;Баттерфляй 50 м;22.52;25.62;МСМК;False;26.11.2024 – 31.12.9999
SCM;50m Butterfly;Баттерфляй 50 м;23.95;27.30;МС;False;26.11.2024 – 31.12.9999
SCM;50m Butterfly;Баттерфляй 50 м;24.95;28.45;КМС;False;26.11.2024 – 31.12.9999
SCM;50m Butterfly;Баттерфляй 50 м;26.95;30.95;I;False;26.11.2024 – 31.12.9999
SCM;50m Butterfly;Баттерфляй 50 м;30.05;33.55;II;False;26.11.2024 – 31.12.9999
SCM;50m Butterfly;Баттерфляй 50 м;33.05;36.55;III;False;26.11.2024 – 31.12.9999
SCM;50m Butterfly;Баттерфляй 50 м;38.05;43.55;Iю;False;26.11.2024 – 31.12.9999
SCM;50m Butterfly;Баттерфляй 50 м;48.05;53.55;IIю;False;26.11.2024 – 31.12.9999
SCM;50m Butterfly;Баттерфляй 50 м;58.05;1:03.55;IIIю;False;26.11.2024 – 31.12.9999
LCM;50m Butterfly;Баттерфляй 50 м;23.27;26.03;МСМК;False;26.11.2024 – 31.12.9999
LCM;50m Butterfly;Баттерфляй 50 м;24.70;28.05;МС;False;26.11.2024 – 31.12.9999
LCM;50m Butterfly;Баттерфляй 50 м;25.70;29.20;КМС;False;26.11.2024 – 31.12.9999
LCM;50m Butterfly;Баттерфляй 50 м;27.70;31.70;I;False;26.11.2024 – 31.12.9999
LCM;50m Butterfly;Баттерфляй 50 м;30.80;34.30;II;False;26.11.2024 – 31.12.9999
LCM;50m Butterfly;Баттерфляй 50 м;33.80;37.30;III;False;26.11.2024 – 31.12.9999
LCM;50m Butterfly;Баттерфляй 50 м;38.80;44.30;Iю;False;26.11.2024 – 31.12.9999
LCM;50m Butterfly;Баттерфляй 50 м;48.80;54.30;IIю;False;26.11.2024 – 31.12.9999
LCM;50m Butterfly;Баттерфляй 50 м;58.80;1:04.30;IIIю;False;26.11.2024 – 31.12.9999
SCM;50m Freestyle;Вольный стиль 50 м;21.18;24.13;МСМК;False;26.11.2024 – 31.12.9999
SCM;50m Freestyle;Вольный стиль 50 м;22.45;25.75;МС;False;26.11.2024 – 31.12.9999
SCM;50m Freestyle;Вольный стиль 50 м;23.20;26.55;КМС;False;26.11.2024 – 31.12.9999
SCM;50m Freestyle;Вольный стиль 50 м;24.45;27.85;I;False;26.11.2024 – 31.12.9999
SCM;50m Freestyle;Вольный стиль 50 м;26.85;30.55;II;False;26.11.2024 – 31.12.9999
SCM;50m Freestyle;Вольный стиль 50 м;29.05;32.55;III;False;26.11.2024 – 31.12.9999
SCM;50m Freestyle;Вольный стиль 50 м;35.05;39.55;Iю;False;26.11.2024 – 31.12.9999
SCM;50m Freestyle;Вольный стиль 50 м;45.05;49.55;IIю;False;26.11.2024 – 31.12.9999
SCM;50m Freestyle;Вольный стиль 50 м;55.05;59.05;IIIю;False;26.11.2024 – 31.12.9999
LCM;50m Freestyle;Вольный стиль 50 м;21.91;24.82;МСМК;False;26.11.2024 – 31.12.9999
LCM;50m Freestyle;Вольный стиль 50 м;23.20;26.50;МС;False;26.11.2024 – 31.12.9999
LCM;50m Freestyle;Вольный стиль 50 м;23.95;27.30;КМС;False;26.11.2024 – 31.12.9999
LCM;50m Freestyle;Вольный стиль 50 м;25.20;28.60;I;False;26.11.2024 – 31.12.9999
LCM;50m Freestyle;Вольный стиль 50 м;27.60;31.30;II;False;26.11.2024 – 31.12.9999
LCM;50m Freestyle;Вольный стиль 50 м;29.80;33.30;III;False;26.11.2024 – 31.12.9999
LCM;50m Freestyle;Вольный стиль 50 м;35.80;40.30;Iю;False;26.11.2024 – 31.12.9999
LCM;50m Freestyle;Вольный стиль 50 м;45.80;50.30;IIю;False;26.11.2024 – 31.12.9999
LCM;50m Freestyle;Вольный стиль 50 м;55.80;59.80;IIIю;False;26.11.2024 – 31.12.9999
SCM;800m Freestyle;Вольный стиль 800 м;7:42.70;8:23.99;МСМК;False;26.11.2024 – 31.12.9999
SCM;800m Freestyle;Вольный стиль 800 м;8:17.00;9:00.00;МС;False;26.11.2024 – 31.12.9999
SCM;800m Freestyle;Вольный стиль 800 м;8:50.00;9:30.00;КМС;False;26.11.2024 – 31.12.9999
SCM;800m Freestyle;Вольный стиль 800 м;9:24.00;10:11.00;I;False;26.11.2024 – 31.12.9999
SCM;800m Freestyle;Вольный стиль 800 м;11:02.00;11:42.00;II;False;26.11.2024 – 31.12.9999
SCM;800m Freestyle;Вольный стиль 800 м;12:24.00;13:15.00;III;False;26.11.2024 – 31.12.9999
SCM;800m Freestyle;Вольный стиль 800 м;14:26.00;16:00.00;Iю;False;26.11.2024 – 31.12.9999
SCM;800m Freestyle;Вольный стиль 800 м;16:26.00;18:30.00;IIю;False;26.11.2024 – 31.12.9999
SCM;800m Freestyle;Вольный стиль 800 м;18:26.00;21:00.00;IIIю;False;26.11.2024 – 31.12.9999
LCM;800m Freestyle;Вольный стиль 800 м;7:52.60;8:31.12;МСМК;False;26.11.2024 – 31.12.9999
LCM;800m Freestyle;Вольный стиль 800 м;8:25.00;9:08.00;МС;False;26.11.2024 – 31.12.9999
LCM;800m Freestyle;Вольный стиль 800 м;8:58.00;9:42.00;КМС;False;26.11.2024 – 31.12.9999
LCM;800m Freestyle;Вольный стиль 800 м;9:37.00;10:23.00;I;False;26.11.2024 – 31.12.9999
LCM;800m Freestyle;Вольный стиль 800 м;11:14.00;11:54.00;II;False;26.11.2024 – 31.12.9999
LCM;800m Freestyle;Вольный стиль 800 м;12:36.00;13:27.00;III;False;26.11.2024 – 31.12.9999
LCM;800m Freestyle;Вольный стиль 800 м;14:38.00;16:12.00;Iю;False;26.11.2024 – 31.12.9999
LCM;800m Freestyle;Вольный стиль 800 м;16:38.00;18:42.00;IIю;False;26.11.2024 – 31.12.9999
LCM;800m Freestyle;Вольный стиль 800 м;18:38.00;21:12.00;IIIю;False;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х50 м - комбинированная;23.29;26.57;МСМК;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х50 м - комбинированная;25.89;28.65;МС;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х50 м - комбинированная;27.35;29.85;КМС;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х50 м - комбинированная;29.35;31.55;I;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х50 м - комбинированная;32.05;36.55;II;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х50 м - комбинированная;35.55;40.55;III;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х50 м - комбинированная;41.55;47.05;Iю;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х50 м - комбинированная;51.55;57.05;IIю;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х50 м - комбинированная;1:01.55;1:07.05;IIIю;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х100 м - комбинированная;50.54;57.36;МСМК;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х100 м - комбинированная;57.00;1:03.60;МС;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х100 м - комбинированная;1:00.40;1:08.50;КМС;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х100 м - комбинированная;1:04.40;1:13.00;I;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х100 м - комбинированная;1:12.60;1:21.10;II;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х100 м - комбинированная;1:21.10;1:31.10;III;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х100 м - комбинированная;1:33.60;1:45.10;Iю;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х100 м - комбинированная;1:56.10;2:08.10;IIю;True;26.11.2024 – 31.12.9999
SCM;do not use;Эстафета 4х100 м - комбинированная;2:16.10;2:28.10;IIIю;True;26.11.2024 – 31.12.9999
LCM;do not use;Эстафета 4х100 м - комбинированная ;53.72;59.80;МСМК;True;26.11.2024 – 31.12.9999
LCM;do not use;Эстафета 4х100 м - комбинированная ;58.50;1:06.00;МС;True;26.11.2024 – 31.12.9999
LCM;do not use;Эстафета 4х100 м - комбинированная ;1:02.00;1:10.00;КМС;True;26.11.2024 – 31.12.9999
LCM;do not use;Эстафета 4х100 м - комбинированная ;1:06.00;1:14.50;I;True;26.11.2024 – 31.12.9999
LCM;do not use;Эстафета 4х100 м - комбинированная ;1:14.10;1:22.60;II;True;26.11.2024 – 31.12.9999
LCM;do not use;Эстафета 4х100 м - комбинированная ;1:22.60;1:32.60;III;True;26.11.2024 – 31.12.9999
LCM;do not use;Эстафета 4х100 м - комбинированная ;1:35.10;1:46.60;Iю;True;26.11.2024 – 31.12.9999
LCM;do not use;Эстафета 4х100 м - комбинированная ;1:57.60;2:09.60;IIю;True;26.11.2024 – 31.12.9999
LCM;do not use;Эстафета 4х100 м - комбинированная ;2:17.60;2:29.60;IIIю;True;26.11.2024 – 31.12.9999